mid,sid,pid,ustatus,score,astatus
1869396,13768,9599,NULL,9.800000,New
1869395,13768,9598,NULL,9.800000,New
1869394,13768,9597,NULL,9.800000,New
1869393,13768,9596,NULL,9.800000,New
1869392,13768,9595,NULL,9.800000,New
1869391,13768,9594,NULL,9.800000,New
1869389,13768,9587,NULL,9.800000,New
1869388,13768,9557,NULL,9.808000,New
1869387,13768,9542,NULL,9.808000,New
1869380,13768,9457,NULL,9.800000,New
1869379,13768,9452,NULL,9.808000,New
1869377,13768,9444,NULL,9.808000,New
1869376,13768,9351,NULL,9.808000,New
1869375,13768,9344,NULL,9.808000,New
1868116,13821,9809,NULL,10.000000,New
1868115,13821,9783,NULL,10.000000,New
1868107,13821,9441,NULL,10.000000,New
1868106,13821,9430,NULL,10.000000,New
1867473,13816,9765,NULL,10.000000,New
1867466,13816,9693,NULL,10.000000,New
1867462,13816,9646,NULL,10.000000,New
1867452,13816,9445,NULL,10.000000,New
1867241,13817,9788,NULL,10.000000,New
1867238,13817,9766,NULL,10.000000,New
1867236,13817,9708,NULL,10.000000,New
1867234,13817,9675,NULL,10.000000,New
1867228,13817,9520,NULL,10.000000,New
1867222,13817,9489,NULL,10.000000,New
1867213,13817,9420,NULL,10.000000,New
1867212,13817,9419,NULL,10.000000,New
1867211,13817,9398,NULL,10.000000,New
1867209,13817,9384,NULL,10.000000,New
1866847,13820,9714,NULL,10.000000,New
1866837,13820,9596,NULL,10.000000,New
1866830,13820,9548,NULL,10.000000,New
1866827,13820,9497,NULL,10.000000,New
1866825,13820,9492,NULL,10.000000,New
1866822,13820,9486,NULL,10.000000,New
1865052,13784,9471,NULL,10.000000,New
1865050,13784,9398,NULL,10.000000,New
1865047,13784,9333,NULL,10.000000,New
1864945,13797,9881,NULL,10.000000,New
1864937,13797,9561,Rejected,10.000000,Approved
1864936,13797,9541,NULL,10.000000,New
1864932,13797,9427,NULL,10.000000,New
1862018,13789,9769,NULL,9.123000,New
1862014,13789,9723,NULL,10.000000,New
1862013,13789,9716,NULL,10.000000,New
1862003,13789,9663,NULL,10.000000,New
1861995,13789,9599,NULL,10.000000,New
1861994,13789,9598,NULL,10.000000,New
1861993,13789,9597,NULL,10.000000,New
1861992,13789,9596,NULL,10.000000,New
1861991,13789,9595,NULL,10.000000,New
1861990,13789,9594,NULL,10.000000,New
1861988,13789,9587,NULL,10.000000,New
1861986,13789,9569,NULL,10.000000,New
1861980,13789,9516,NULL,10.000000,New
1861978,13789,9502,NULL,10.000000,New
1861977,13789,9501,NULL,10.000000,New
1861976,13789,9500,NULL,10.000000,New
1861975,13789,9499,NULL,10.000000,New
1861973,13789,9487,NULL,10.000000,New
1861964,13789,9453,NULL,10.000000,New
1861963,13789,9452,NULL,10.000000,New
1861951,13789,9344,NULL,10.000000,New
1861123,13775,9895,NULL,9.825000,New
1861119,13758,9895,NULL,10.000000,New
1861109,13713,9895,NULL,10.000000,New
1861089,13650,9895,NULL,9.825000,New
1861022,13360,9895,NULL,9.825000,New
1861014,13337,9895,NULL,10.000000,New
1860980,13199,9895,NULL,9.825000,New
1860977,13192,9895,NULL,10.000000,New
1860959,13114,9895,NULL,10.000000,New
1860903,12911,9895,NULL,10.000000,New
1860902,12910,9895,NULL,10.000000,New
1860895,12823,9895,NULL,9.808000,New
1860881,12746,9895,NULL,10.000000,New
1860850,12569,9895,NULL,10.000000,New
1860816,12460,9895,NULL,9.825000,New
1860771,12323,9895,NULL,9.825000,New
1860746,12232,9895,NULL,9.808000,New
1860740,12204,9895,NULL,9.825000,New
1860713,12124,9895,NULL,9.123000,New
1860685,12020,9895,NULL,10.000000,New
1860684,12016,9895,NULL,10.000000,New
1860683,12015,9895,NULL,10.000000,New
1860681,11986,9895,NULL,10.000000,New
1860648,11880,9895,NULL,9.825000,New
1860639,11829,9895,NULL,10.000000,New
1860631,11809,9895,NULL,9.825000,New
1860619,11690,9895,NULL,10.000000,New
1860590,11558,9895,NULL,10.000000,New
1860563,11435,9895,NULL,10.000000,New
1860558,11383,9895,NULL,9.825000,New
1860557,11375,9895,NULL,9.808000,New
1860514,11093,9895,NULL,10.000000,New
1860512,11088,9895,NULL,10.000000,New
1860496,10989,9895,NULL,10.000000,New
1860254,13647,9894,NULL,9.825000,New
1860252,13293,9894,NULL,10.000000,New
1860251,13040,9894,NULL,9.808000,New
1860250,12970,9894,NULL,10.000000,New
1860249,12761,9894,NULL,9.825000,New
1860248,12548,9894,NULL,10.000000,New
1860247,12500,9894,NULL,10.000000,New
1860246,12364,9894,NULL,9.123000,New
1860244,12340,9894,NULL,9.808000,New
1860243,12307,9894,NULL,10.000000,Approved
1860242,12256,9894,NULL,9.123000,New
1860241,12124,9894,NULL,9.123000,New
1860238,11709,9894,NULL,9.123000,New
1860237,11647,9894,NULL,10.000000,New
1860236,11579,9894,NULL,10.000000,New
1860235,11277,9894,NULL,9.825000,New
1860234,11149,9894,NULL,10.000000,New
1860233,11023,9894,NULL,9.123000,New
1860227,8202,9894,NULL,10.000000,New
1860194,13785,9705,NULL,10.000000,New
1860193,13785,9647,NULL,10.000000,New
1860187,13785,9502,NULL,10.000000,New
1860186,13785,9501,NULL,10.000000,New
1860185,13785,9500,NULL,10.000000,New
1860184,13785,9499,NULL,10.000000,New
1860096,13666,9893,NULL,9.808000,New
1860095,13665,9893,NULL,9.825000,New
1860094,13664,9893,NULL,9.808000,New
1860093,13647,9893,NULL,9.825000,New
1860083,13376,9893,NULL,9.808000,New
1860082,13285,9893,NULL,10.000000,New
1860079,13224,9893,NULL,9.825000,New
1860078,13217,9893,NULL,9.825000,New
1860077,13216,9893,NULL,9.825000,New
1860076,13215,9893,NULL,9.825000,New
1860075,13214,9893,NULL,9.825000,New
1860074,13213,9893,NULL,9.825000,New
1860066,13097,9893,NULL,10.000000,New
1860065,13094,9893,NULL,10.000000,New
1860064,13019,9893,NULL,10.000000,New
1860060,12919,9893,NULL,9.825000,New
1860058,12751,9893,NULL,10.000000,New
1860055,12538,9893,NULL,10.000000,New
1860054,12526,9893,NULL,10.000000,New
1860052,12441,9893,NULL,10.000000,New
1860050,12419,9893,NULL,9.123000,New
1860049,12383,9893,NULL,9.825000,New
1860047,12364,9893,NULL,9.123000,New
1860045,12260,9893,NULL,10.000000,New
1860043,12240,9893,NULL,9.825000,New
1860042,12239,9893,NULL,10.000000,New
1860041,12206,9893,NULL,9.825000,New
1860040,12201,9893,NULL,9.825000,New
1860038,12156,9893,NULL,10.000000,New
1860034,12125,9893,NULL,9.825000,New
1860033,12123,9893,NULL,9.825000,New
1860032,12122,9893,NULL,9.825000,New
1860031,12121,9893,NULL,9.825000,New
1860030,12120,9893,NULL,9.825000,New
1860029,12119,9893,NULL,9.825000,New
1860027,12081,9893,NULL,10.000000,New
1860026,12047,9893,NULL,10.000000,New
1860025,12015,9893,NULL,10.000000,New
1860023,11928,9893,NULL,10.000000,New
1860022,11927,9893,NULL,10.000000,New
1860019,11812,9893,NULL,9.825000,New
1860018,11805,9893,NULL,9.825000,New
1860017,11799,9893,NULL,10.000000,New
1860016,11709,9893,NULL,9.123000,New
1860014,11685,9893,NULL,10.000000,New
1860011,11621,9893,NULL,9.808000,New
1860010,11614,9893,NULL,9.808000,New
1860009,11611,9893,NULL,9.808000,New
1860008,11602,9893,NULL,9.808000,New
1860007,11601,9893,NULL,9.808000,New
1860006,11600,9893,NULL,9.808000,New
1860005,11599,9893,NULL,9.808000,New
