keyid,name,secid,sub_secid
12333,bpo & lpo services,6573,6732
12332,big data consulting services,6573,6731
12331,rosin,6555,6565
12330,toys,6560,6632
12329,led street & industrial lights,6556,6587
12328,led products,6556,6587
12327,lab equipments,6567,6680
12326,clinical trial services,6567,6684
12325,clinical trial products,6567,6684
12324,bio pharma products,6568,6688
12323,api manufacturers,6568,6689
12322,laboratories,6563,6649
12321,lab equipments,6567,6683
12320,lab consumables,6567,6683
12319,lab chemicals,6567,6683
12318,lab chemicals,6563,6649
12317,distributors,6563,6649
12316,chemical distributors,6555,6565
12315,marzipan,6565,6672
12314,fruit puree,6565,6672
12313,equipment support services,6561,6640
12312,culinary equipment services,6561,6639
12311,culinary equipment services,6561,6637
12310,fruits & vegetables distributor,6564,6665
12309,seafood products distributor,6564,6665
12308,peanuts,6565,6672
12307,olives,6565,6672
12306,dried fruit snacks,6565,6672
12305,cashew,6565,6672
12304,almonds,6565,6672
12303,satellite dishes,6574,6739
12302,general construction,6556,6585
12300,wiring harness,6559,6617
12299,hydro power,6577,6762
12298,filtration products,6559,6617
12297,filtration products,6556,6583
12293,additives,6555,6565
12292,polymers,6555,6565
12291,pigments,6555,6565
12290,lubricant,6555,6565
12289,industrial cleaning,6555,6565
12288,membrane separations,6577,6759
12287,fuel additives,6577,6759
12286,stabiliser,6565,6672
12285,spice blends,6565,6672
12284,natural colours,6565,6672
12283,marinades,6565,6672
12282,emulsifiers,6565,6672
12281,brines,6565,6672
12280,baking powders,6565,6672
12279,purees,6565,6668
12278,juice based drinks,6565,6668
12277,formulated compounds,6565,6668
12276,emulsions,6565,6668
12275,site preparation services,6557,6598
12274,pre construction,6557,6598
12273,land clearing,6557,6598
12272,demolition,6557,6598
12271,franchise system,6563,6660
12270,concrete cutting,6556,6585
12269,concrete coring,6556,6585
12267,water,6565,6668
12266,nutrition powder,6565,6672
12265,mineral water,6565,6668
12264,distilled water,6565,6668
12263,baby milk,6565,6672
12262,pita,6565,6672
12261,flatbread,6565,6672
12260,mobility equipment,6567,6680
12259,molecular diagnostics companies,6568,6688
12258,labs,6568,6690
12257,flooring contractor,6557,6602
12256,sustainable energy systems,6577,6762
12255,baby products,6566,6678
12251,environment solutions,6557,6600
12250,medical distributors,6567,6683
12249,healthcare supplies,6567,6681
12248,healthcare services,6567,6684
12247,raw ham,6565,6674
12246,matured raw ham,6565,6674
12245,cooked ham,6565,6674
12244,dry walls,6556,6584
12243,mdf,6555,6569
12242,fibre board,6556,6584
12241,fibre board,6555,6569
12240,tea,6565,6673
12239,coconut milk,6565,6673
12237,pool and spa construction,6556,6585
12236,inground pool construction,6556,6585
12235,in ground pool construction,6556,6585
12234,valve testing,6554,6556
12233,repair services,6554,6556
12232,fast food restaurants,6561,6639
12231,packaging coatings,6555,6568
12230,marine coatings,6555,6568
12229,sealants,6555,6568
12228,automotive coatings,6555,6568
12227,nutritional vitamins,6568,6689
12226,digital media,6562,6644
12225,content,6562,6643
12224,mobility scooters,6559,6621
12223,money exchange services,6570,6697
12222,currency exchange services,6570,6697
12221,argan shampoo,6566,6678
12220,argan lipstick,6566,6678
12219,argan hair masque,6566,6678
12218,argan conditioner,6566,6678
12217,shouldered systems,6556,6584
12216,pvf product,6556,6584
12215,pipe,6556,6584
12214,control valves,6556,6584
12213,fit-out services,6557,6598
12212,southern pine,6555,6581
12211,plywood,6555,6581
12210,hardwood,6555,6581
12209,sun control products retail,6563,6659
12208,glass and glazing contractor,6557,6602
12207,lipsticks,6566,6678
12206,cosmetic container,6555,6570
12205,compacts,6566,6678
12203,brushes,6566,6678
12202,training services,6561,6641
12201,it skills training,6561,6641
12200,business skills training,6561,6641
12199,temperature swing adsorption systems,6556,6593
12198,silicon photovoltaics,6556,6593
12197,purification systems,6556,6593
12196,gas recovery systems,6556,6593
12195,air pre-purification systems,6556,6593
12194,landscaping & lawn maintenance services,6557,6598
12193,direct mail marketing producer,6562,6644
12192,commercial hvac contractor,6557,6602
12191,framing contractor,6556,6585
12190,waterproofing,6557,6598
12189,tuckpointing,6557,6598
12188,restoration,6557,6598
12187,dam-proofing,6557,6598
12186,concrete repair,6557,6598
12185,tour operator,6561,6638
12184,sugar,6565,6673
12183,pulses,6565,6673
12182,molasses,6565,6673
12180,coffee,6565,6673
12179,shopper marketing,6562,6644
12178,e commerce,6562,6644
12177,data analytics,6562,6644
12176,commercial painting contractor,6557,6602
12175,painting contractor,6557,6602
12174,ophthalmology,6568,6690
12173,immunology,6568,6690
12172,human studies,6568,6690
12171,gastroenterology,6568,6690
12170,dermatology,6568,6690
12169,clinical trials,6568,6690
12168,electronic distributor,6563,6649
12167,home building contractor,6556,6585
12166,landscaping services,6557,6598
12165,carpentry contractor,6557,6602
12164,decorative products,6566,6677
12163,enterprise content management,6573,6734
12162,ecm,6573,6734
12161,transaction management software,6573,6734
12160,retail banking software,6573,6734
12159,lending software,6573,6734
12158,corporate banking software,6573,6734
12157,rollers,6556,6593
12156,pulleys,6556,6593
12155,conveyor components,6556,6593
12154,sdr 35 pipes,6556,6585
12153,sch 40 pipes,6556,6584
12152,pvc pipes,6556,6585
12151,pvc pipes,6556,6584
12150,boat dealer,6563,6661
12149,drywall contractor,6557,6602
12148,online retail store,6563,6652
12147,setting materials,6555,6569
12146,ceramic tiles,6555,6569
12145,natural stones,6556,6584
12144,natural stone distributor,6563,6649
12143,trade printing services,6557,6596
12142,canvas awnings,6556,6584
12141,collection & receivable management services,6557,6598
12140,electrical contracting services,6557,6602
12139,security window,6556,6584
12138,security door,6556,6584
12137,louvers,6556,6584
12136,commercial drywall contractor,6557,6602
12135,lumber products wholesaler,6563,6649
12134,software,6557,6606
12133,research,6557,6606
12132,real estate services,6572,6728
12131,data processing,6557,6606
12130,analytics,6557,6606
12129,optoelectronics companies,6556,6593
12128,laser,6556,6593
12127,mep contractor,6557,6602
12126,event agency,6557,6598
12122,uniforms,6560,6632
12121,flameproof apparel,6560,6632
12120,army uniforms,6560,6632
12119,filtration membrane,6556,6593
12118,m2m,6573,6729
12116,device management,6573,6729
12115,remodeling activities,6556,6585
12114,pvc packaging films,6555,6570
12113,pvc lamination,6555,6570
12112,aluminium foil,6555,6570
12111,software testing,6573,6734
12110,data warehousing,6573,6732
12109,data modeling,6573,6732
12108,application development,6573,6734
12107,polyamides,6555,6568
12106,phenalkamines,6555,6568
12105,epoxy curing agents,6555,6568
12104,epoxy adducts,6555,6568
12103,shop-fitting contractor,6557,6602
12102,product identification businesses,6556,6593
12101,automation,6556,6593
12100,dental segment,6567,6680
12099,environmental,6557,6600
12098,test & measurement,6557,6604
12097,shared office spaces,6572,6727
12096,rented office spaces,6572,6727
12095,real estate tech,6572,6728
12094,office spaces,6572,6727
12093,commercial real estate,6572,6764
12092,stamped metal products,6559,6617
12091,roll formed metal products,6559,6617
12090,equipment,6568,6690
12089,distributors,6568,6690
12088,consumables,6568,6690
12087,plastic parts,6559,6617
12086,aluminium parts,6559,6617
12085,rehab centres,6567,6684
12084,protection services,6557,6603
12083,asset protection services,6557,6603
12082,dc motor,6556,6587
12081,ac motor,6556,6587
12080,reading devices,6556,6587
12079,glass curtain walls,6556,6584
12078,glass & glazing contractor,6557,6602
12077,aluminum composite panels,6556,6584
12076,panels,6559,6617
12075,moldings,6559,6617
12074,emblems,6559,6617
12073,appliques,6559,6617
12072,industrial glass manufacturers,6555,6571
12070,metal & glazing systems,6556,6584
12069,building enclosures,6556,6584
12068,utility billing solutions,6573,6734
12067,rcm,6573,6734
12066,financial record management,6573,6734
12064,e govt applications,6573,6734
12063,red velvet rolls,6565,6672
12062,cinnamon rolls,6565,6672
12061,chocolate rolls,6565,6672
12060,transloading facilities,6558,6613
12059,wall panels,6556,6584
12058,prestressed concrete products,6556,6584
12057,custom concrete products.,6556,6584
12056,concrete barriers,6556,6584
12055,box culverts,6556,6584
12054,blow molded containers,6555,6570
12053,e-learning,6561,6641
12052,digital learning space,6561,6641
12051,smart city,6573,6729
12050,trade show installer,6557,6602
12049,promotional products,6560,6632
12048,egg whites,6565,6672
12047,egg powder,6565,6672
12046,egg albumin powder,6565,6672
12044,bakery mixes,6565,6672
12043,utility trailers,6556,6591
12042,motorcycle trailers,6556,6591
12041,car haulers,6556,6591
12040,light industrial staffing firm,6557,6605
12039,temporary recruitment services,6557,6605
12038,sauces,6565,6673
12037,purees,6565,6673
12036,powder,6565,6673
12035,agricultural products,6565,6673
12034,steel deck,6556,6584
12033,sloped metal roofing,6556,6584
12032,metal cladding,6556,6584
12031,roofing contractor,6557,6602
12030,mechanical contractor,6557,6602
12029,procedure management software,6573,6734
12028,post acute care,6567,6684
12027,emergency medicine groups,6567,6685
12026,anesthesia,6567,6684
12025,contract research organization,6568,6689
12023,respiratory,6568,6689
12022,bio similar,6568,6690
12021,fund of funds,6570,6702
12020,feeder funds,6570,6702
12019,etf,6570,6702
12018,arbitrage funds,6570,6702
12017,semiconductor equipment,6575,6750
12016,semiconductor,6575,6750
12015,flip chip bonder,6575,6750
12014,die bonder,6575,6750
12013,waste minimisation,6557,6600
12012,oil and gas,6557,6600
12011,industrial cleaning,6557,6600
12010,practice management software,6573,6734
12009,practice management services,6567,6684
12007,flexography,6557,6596
12006,photopolymer plates,6556,6593
12005,fire safety systems,6557,6603
12004,consultancy services,6557,6604
12003,environmental monitoring system,6557,6600
12002,healthcare application,6573,6734
12001,anatomic 3d model,6573,6734
12000,recycling of industrial products,6557,6600
11999,cnc cutting machine,6556,6593
11993,property insurance,6571,6708
11992,mutual funds,6570,6697
11990,general insurance,6571,6709
11989,casualty insurance,6571,6709
11988,tours,6561,6638
11987,tourism services,6561,6638
11986,shuttle service,6558,6614
11985,riverboats,6561,6638
11984,riverboat cruises,6561,6638
11983,concierge services,6561,6640
11982,metal fabrication,6557,6602
11981,industrial maintenance,6557,6602
11980,carbon fiber parts,6559,6617
11979,carbon fiber parts,6556,6583
11978,graphic products,6557,6596
11977,window walls,6556,6584
11976,storefronts,6556,6584
11975,curtain walls,6556,6584
11974,bath & beauty products,6566,6678
11973,rugs,6563,6662
11972,knotted rugs,6563,6662
11971,handmade rugs,6563,6662
11970,uniforms,6560,6634
11969,flameproof apparel,6560,6634
11968,thermoplastic resins,6555,6565
11966,costume jewelry,6560,6632
11965,retail insurance,6571,6708
11964,property and casualty insurance,6571,6709
11963,multi line insurance,6571,6708
11962,psychiatric,6568,6689
11961,infectious diseases,6568,6689
11960,in licensing,6568,6689
11959,cns,6568,6689
11958,synthetic lubricants,6554,6558
11957,hydrocarbon gels,6554,6558
11956,fuels,6554,6558
11955,energy products,6554,6558
11954,asphalt,6554,6558
11953,construction materials,6555,6569
11952,asphalt products,6555,6569
11951,personal care,6555,6568
11950,performance urethane intermediates,6555,6568
11949,oleochemicals,6555,6568
11948,motor fuels,6555,6568
11946,agricultural chemicals,6555,6568
11945,total byproduct management,6557,6600
11944,hazardous waste incineration,6557,6600
11943,environmental services,6557,6600
11942,pastry,6565,6672
11941,marmalades,6565,6672
11939,chestnut products,6565,6672
11938,candied chestnuts,6565,6672
11937,coex products,6555,6570
11935,packaging equipment,6556,6593
11934,automatic filling machines,6556,6593
11933,automatic cartoner machines,6556,6593
11932,automatic baling machines,6556,6593
11931,stretch,6555,6570
11930,protective packaging,6555,6570
11929,equipment,6555,6570
11928,consumables,6555,6570
11927,rehabilitation centers,6567,6684
11926,radiation treatment facilities,6567,6684
11925,physical therapy clinics,6567,6684
11924,pharmacies,6567,6684
11923,nursing homes,6567,6684
11922,medical transportation,6558,6612
11921,dialysis treatment,6567,6684
11920,chemotherapy,6567,6684
11919,fishing boats,6559,6621
11918,led troffers,6556,6587
11917,led lamps & tubes,6556,6587
11916,led flood lights,6556,6587
11915,warehouse automation,6555,6570
11914,industrial packaging,6555,6570
11913,building products distributor,6563,6649
11912,electricity supplier,6577,6756
11911,dental supply distributor,6567,6683
11910,dental clinics,6567,6684
11909,security systems,6557,6603
11907,armored security,6557,6603
11906,property preservation services,6557,6598
11905,gas stations,6561,6640
11904,convenience store,6564,6666
11903,ac and dc gear motors,6556,6593
11902,ac and dc gear motors,6556,6592
11901,ac and dc gear motors,6556,6584
11900,fiber optic networks,6576,6754
11899,telecommunication consulting,6557,6606
11898,designs fiber optic networks,6576,6754
11897,rail cars leasing,6563,6661
11895,lawn maintenance services,6557,6598
11894,lawn care,6557,6598
11892,retirement plans record keeping,6570,6697
11891,retirement plans public sector,6570,6697
11890,record keeping,6557,6598
11889,electrical connectors,6556,6587
11888,steel bars,6556,6584
11887,ribbed steel bars,6556,6584
11886,cold drawn plain steel bars,6556,6584
11884,automobile dies,6559,6617
11883,low-volt electrical equipment,6556,6587
11880,steel products,6556,6584
11879,brokerage business,6558,6612
11878,baked goods,6565,6672
11877,steel pipes,6555,6579
11875,talent acquisition software,6557,6605
11874,recruiting process,6557,6605
11873,fast food outlets,6561,6639
11872,casual dining outlets,6561,6639
11869,television,6560,6629
11868,tablets,6560,6629
11867,gaming consoles,6560,6629
11866,audio products,6560,6629
11865,kitchen appliances,6560,6627
11864,home appliances,6560,6627
11860,commercial stone installation,6557,6602
11859,brownstone,6555,6569
11858,bluestone,6555,6569
11857,refrigerated food,6565,6675
11856,frozen food,6565,6672
11855,medical transcription,6573,6732
11854,medical transcription,6567,6684
11853,speciality chemicals,6555,6568
11852,addhesives,6555,6568
11851,smart tech,6573,6729
11849,geo spatial system integration,6573,6729
11848,thick plastic films,6555,6570
11846,glass products,6556,6584
11845,glass installation,6557,6602
11844,water resistant edges,6560,6626
11843,water resistant edges,6560,6625
11842,veneer edging,6560,6626
11841,veneer edging,6560,6625
11840,thick veneer edging,6560,6626
11839,thick veneer edging,6560,6625
11838,standard veneer edging,6560,6626
11837,standard veneer edging,6560,6625
11836,real veneer,6560,6626
11835,real veneer,6560,6625
11834,mouse pads,6560,6625
11833,extreme tensile strength profile,6560,6626
11832,extreme tensile strength profile,6560,6625
11831,exclusive surface finishes,6560,6625
11830,door rebates,6560,6626
11829,door rebates,6560,6625
11828,vermicelli,6565,6673
11827,tapioca starch,6565,6673
11826,noodle products,6565,6673
11825,tax management software,6573,6734
11824,covers,6559,6617
11823,caps,6559,6617
11822,buttons,6559,6617
11821,blinker lever,6559,6617
11820,stents,6567,6683
11819,renalguard system,6567,6683
11818,pacemakers,6567,6683
11817,defibrillators,6567,6683
11816,accessories for surgical procedures,6567,6683
11813,unified communication,6576,6754
11812,tendering service,6556,6585
11811,program management services,6556,6585
11810,general engineering consultancy,6556,6585
11809,engineering services,6556,6585
11808,excavator buckets,6556,6585
11807,booms,6556,6585
11806,arms,6556,6585
11805,specialised pharma,6568,6689
11804,pharmaceuticals,6568,6689
11803,biotechnology,6568,6689
11802,api manufacturing,6568,6689
11801,system integration,6573,6731
11800,software development,6573,6734
11799,managed services,6573,6731
11798,training institutes,6561,6641
11797,educational platform,6561,6641
11796,online marketing,6573,6729
11795,integration services,6573,6730
11794,erp intergration,6573,6730
11793,data analytics,6573,6732
11792,data infrastructure,6573,6729
11791,tech support,6573,6732
11790,data center,6573,6732
11789,call center,6573,6732
11788,paperboard,6555,6572
11786,corrugated containers,6555,6572
11785,containerboard,6555,6572
11784,tiles,6555,6569
11783,slabs,6555,6569
11782,natural stone,6555,6569
11778,telecommunication provider,6576,6753
11777,virtual assistance,6573,6729
11776,digital marketing space,6562,6644
11775,digital content distribution,6562,6644
11774,automation,6573,6729
11773,vehicle telematics saas,6573,6734
11772,luxury houses,6556,6585
11771,lighting elements,6560,6624
11770,uht & pasteurizing plants,6556,6593
11769,separators & degasses,6556,6593
11768,plate & tubular heat exchangers,6556,6593
11767,milk reception & cooling unit,6556,6593
11766,filling & packaging plants,6556,6593
11765,web development,6573,6731
11764,testing,6573,6731
11763,mobile development,6573,6731
11762,consulting services,6573,6731
11761,application development,6573,6731
11760,consulting,6576,6755
11759,breed networking,6576,6755
11758,travel trailers,6563,6661
11757,toy haulers,6563,6661
11756,recreational vehicle dealer,6563,6661
11755,motorhomes,6563,6661
11754,fifth wheels,6563,6661
11753,consumer goods distributor,6563,6649
11752,architectural services,6557,6604
11751,email marketing,6562,6644
11750,email advertising,6562,6644
11749,water line,6577,6759
11748,sewer line,6577,6759
11747,terrazzo flooring,6556,6584
11746,terrazzo flooring,6555,6569
11745,runway construction,6556,6585
11744,roadway,6556,6585
11743,building,6556,6585
11742,electrical construction materials,6555,6569
11741,women shoes,6560,6633
11740,typesetting,6557,6596
11739,binding,6557,6596
11738,porcelain products,6566,6677
11737,optical machinery,6567,6680
11736,optical lenses,6567,6680
11735,optical equipment,6567,6680
11734,electronic parts,6574,6745
11733,electronic circuits,6574,6745
11732,electronic parts/ circuits/ devices,6574,6745
11731,windows,6563,6659
11730,roofing,6563,6659
11729,paint,6563,6659
11728,lumber,6563,6659
11727,insulation,6563,6659
11726,hardware,6563,6659
11725,drywall,6563,6659
11724,doors,6563,6659
11720,silicone bracelets,6566,6678
11719,ornaments,6566,6678
11718,lapel pins,6566,6678
11717,keychains,6566,6678
11716,coins,6566,6678
11715,storage tools & software,6573,6735
11714,storage software for operating system,6573,6735
11713,sliding screen doors,6556,6584
11712,aluminium screen doors,6556,6584
11711,aluminium patio products,6556,6584
11710,small wares,6563,6649
11709,refrigerators,6563,6649
11708,professional kitchen supplies,6563,6649
11707,ice machines,6563,6649
11706,furniture,6563,6649
11705,commercial cooking equipment,6563,6649
11704,catering supplies,6563,6649
11703,bar equipment,6563,6649
11702,truss engineering services,6556,6585
11701,structural engineering services,6556,6585
11700,building design plans,6556,6585
11699,mechanical seals,6556,6593
11698,qualified cloud offerings,6573,6731
11697,pavement maintenance services,6556,6585
11696,concrete repair,6556,6585
11695,asphalt paving,6556,6585
11694,tables,6560,6625
11693,site furnishings,6560,6625
11692,seating,6560,6625
11691,healthcare furniture,6560,6625
11690,control room furniture,6560,6625
11689,live lobsters,6564,6665
11688,fresh meat,6564,6665
11687,fresh chicken,6564,6665
11686,fresh & frozen seafood,6564,6665
11685,dry goods,6564,6665
11684,hvac management,6557,6602
11683,consulting,6557,6602
11682,budgeting & estimating services,6557,6602
11681,rn,6567,6684
11680,personal care assistants,6567,6684
11679,lpn,6567,6684
11678,homemakers,6567,6684
11677,home aids,6567,6684
11676,companions,6567,6684
11675,water purification and dispensary vending machine,6556,6593
11674,water purification and dispensary vending machine,6560,6627
11673,personal care,6566,6678
11671,facial skin care,6566,6678
11670,depilatories,6566,6678
11669,body lotion care,6566,6678
11667,hot water heating,6557,6602
11666,hvac replacement service,6557,6602
11665,hvac new construction services,6557,6602
11664,hvac installation,6556,6584
11663,flooring products distributor,6563,6649
11661,dessert products,6565,6672
11660,production assistance,6557,6598
11659,marketing expertise,6557,6598
11658,logistics coordination,6557,6598
11657,certification management,6557,6598
11656,branding,6557,6598
11655,bridge and roadway reconstruction,6556,6585
11654,permanent hair removal,6566,6678
11653,non invasive skin tightening,6566,6678
11652,medical aesthetic devices,6567,6680
11651,feet treatment,6566,6678
11650,facial rejuvenation,6566,6678
11649,cellulite treatment,6566,6678
11648,wine,6564,6666
11647,spirits,6564,6666
11646,soda,6564,6666
11645,cigars,6564,6666
11644,beer,6564,6666
11643,vehicle conversion services,6557,6598
11642,graphic designs,6557,6598
11641,financing assistance,6557,6598
11640,creation of business models,6557,6598
11639,maritime supply chain,6558,6616
11637,hvac contractor,6556,6584
11636,water infrastructure,6577,6759
11635,wastewater infrastructure,6557,6600
11634,vehicle maintenance & reparation,6557,6604
11633,test-driving,6557,6604
11632,rent a car & fleet lease services,6557,6604
11631,procurement of substitute vehicles,6557,6604
11630,operational lease programs,6557,6604
11629,damage management,6557,6604
11628,ldpe/mdpe shrinkable films,6555,6570
11627,ldpe & mdpe products,6555,6570
11625,ice cream,6565,6672
11624,frozen fries,6565,6672
11623,portfolio management  software,6573,6734
11622,hydrant & sanitary systems distributor,6563,6649
11621,fish products,6565,6674
11620,black caviar,6565,6674
11619,reinforced packages,6555,6570
11618,punnets,6555,6570
11617,corrugated cardboard packages,6555,6570
11616,cardboard packages,6555,6570
11615,trading of medical products,6556,6594
11614,trading of consumer goods,6556,6594
11613,contract research organization,6568,6690
11612,clinical-trials,6568,6690
11611,still water,6565,6668
11610,sparkling water,6565,6668
11609,orange soda,6565,6671
11608,cola soda,6565,6671
11607,blackcurrant soda,6565,6671
11606,tarts,6565,6672
11602,women’s health,6568,6689
11601,respiratory care,6568,6689
11600,pain,6568,6689
11599,oncology,6568,6689
11598,central nervous system,6568,6689
11597,outpatient and inpatient management software,6573,6734
11596,networks,6573,6730
11595,hardware maintenance,6573,6730
11594,fleet management systems,6573,6734
11592,technology-driven logistics,6558,6612
11591,physician practices,6567,6685
11590,wood pellets,6554,6562
11589,wood briquettes,6554,6562
11588,security systems,6573,6730
11587,network design,6573,6730
11586,installation (hardware and software),6573,6730
11585,data storage,6573,6730
11584,content filtering,6573,6730
11582,logistics services,6558,6612
11578,shirts,6560,6634
11577,men's clothing,6560,6634
11576,unified communication,6576,6755
11575,ip telephony,6576,6755
11574,call & contact center solutions,6576,6755
11573,it networking,6573,6730
11572,cabling,6573,6730
11571,cloud-based it security services,6573,6734
11570,video surveillance,6573,6730
11569,unified communications,6573,6730
11567,managed services,6573,6730
11566,infrastructure,6573,6730
11565,sea forwarding,6558,6609
11564,sealing collars,6559,6617
11563,grill plastics parts,6559,6617
11562,control panels,6559,6617
11561,armrests,6559,6617
11560,air conditioning parts,6559,6617
11559,technology solutions,6573,6730
11558,software services,6573,6729
11557,ltl freights,6558,6611
11556,industrial equipment,6558,6611
11555,chemical goods,6558,6611
11554,transport of drugs & diagnostics,6558,6611
11553,the swap of computer equipment,6558,6611
11552,national express transport,6558,6611
11551,logistics,6558,6611
11550,water & sewage construction,6556,6585
11549,splinter stone,6555,6569
11548,sand,6555,6569
11547,road construction,6556,6585
11546,gravel,6555,6569
11545,doors,6560,6625
11544,desks,6560,6625
11543,decoration services,6557,6604
11542,cupboards,6560,6625
11541,chairs,6560,6625
11540,bedside tables,6560,6625
11539,armchairs,6560,6625
11538,fresh italian products,6564,6665
11537,private security training services,6557,6603
11536,private security guards,6557,6603
11535,private detective services,6557,6603
11534,patrols,6557,6603
11533,injection stretch blow molding,6555,6570
11532,injection molding,6555,6570
11531,ships demolition & ship breaking,6558,6616
11530,ship repair,6558,6616
11529,liner services & inland transportation,6558,6616
11528,forwarding stevedoring tallying,6558,6616
11527,chartering & brokering,6558,6616
11526,luxury watches,6563,6660
11525,solid state forming,6555,6570
11524,horizontal flow pack,6555,6570
11523,form fill seal,6555,6570
11522,voicemail,6573,6732
11521,voice services,6573,6732
11520,speech recognition,6573,6732
11519,e-mail,6573,6732
11518,chat,6573,6732
11517,call routing,6573,6732
11516,bpo inbound voice services,6573,6732
11515,textiles,6560,6629
11514,sports,6560,6629
11513,distributes fashion accessories,6563,6649
11512,comfort footwear,6560,6629
11511,balls,6560,6629
11510,trachurus trachurus,6564,6665
11509,scomber scombrus,6564,6665
11508,pelagic fish,6564,6665
11507,horse mackerel,6564,6665
11506,atlantic mackerel,6564,6665
11505,physical and technical protection,6557,6603
11504,consumer electronic distributor,6563,6649
11503,rotogravure,6555,6570
11502,lamination,6555,6570
11501,flexography,6555,6570
11500,thermo shrinkable joints,6555,6569
11499,pre-insulated pipes,6555,6569
11498,pre insulation of steel pipes & pipe elements,6555,6569
11497,insulation materials,6555,6569
11496,anti-corrosive protection,6555,6569
11495,vessel & air chartering,6558,6607
11494,transport planning,6558,6607
11493,multimodal and rail carriage,6558,6607
11492,door to door project services,6558,6607
11491,vehicle safety solutions,6559,6617
11490,pipeline & extruders machines,6556,6593
11489,injection moulding machines,6556,6593
11488,hydraulic blow moulding machines,6556,6593
11487,film machines,6556,6593
11486,extrusion blow moulding machines,6556,6593
11485,crushing & recycling machines,6556,6593
11484,sliding aluminium systems,6556,6584
11483,pvc and aluminium windows,6556,6584
11482,pvc and aluminium doors,6556,6584
11481,door fillings,6556,6584
11480,veneer edges,6556,6584
11479,glass supplier,6563,6649
11478,visual design,6562,6644
11477,events & presentations,6562,6644
11476,digital advertising,6562,6644
11475,crm,6562,6644
11474,copywriting,6562,6644
11473,content marketing,6562,6644
11472,business intelligence,6562,6644
11471,business consulting,6562,6644
11470,brand development,6562,6644
11469,sses,6557,6600
11468,technical consulting,6573,6731
11467,support,6573,6731
11466,maintenance,6573,6731
11465,implementation,6573,6731
11464,switches,6574,6741
11463,routers,6574,6741
11462,network cards,6574,6741
11461,host channel adapters (hca),6574,6741
11460,disk drives,6574,6741
11459,rental management,6556,6590
11458,order management,6556,6590
11457,credit unions,6570,6695
11456,online food retailing,6563,6652
11455,wellness products,6564,6666
11454,tea,6564,6666
11453,coffee,6564,6666
11452,network and telecom infrastructure audit| design| implementation| maintenance,6573,6730
11451,data migration,6573,6730
11450,adopt ict infrastructure,6573,6731
11449,electrical & renewable energy (solar pv & heat pumps) installations,6557,6598
11448,consultancy services,6557,6598
11447,lighting & power,6557,6602
11446,heating services,6557,6602
11445,cctv,6557,6602
11443,pizza equipment,6560,6627
11442,cooking & food preparation equipment,6560,6627
11441,catering equipment,6560,6627
11416,vaccinations,6567,6684
11415,pre-placement health assessments,6567,6684
11414,physiotherapy,6567,6684
11413,pension assessments,6557,6601
11412,occupational & corporate health services,6557,6601
11411,health & wellbeing programmes,6567,6684
11410,counselling,6557,6601
11408,waste disposal & recycling services,6557,6602
11407,skips,6557,6602
11406,structural glass,6556,6584
11405,aluminium windows,6556,6584
11404,aluminium shopfronts,6556,6584
11403,aluminium roof lights,6556,6584
11402,aluminium doors,6556,6584
11401,aluminium curtain walling,6556,6584
11400,lightweight construction,6557,6602
11399,interior fit-out & refurbishment contractors,6557,6602
11398,external works packages,6557,6602
11397,water features & specialist installations,6557,6598
11396,hard & soft landscaping,6557,6598
11395,external landscape constructions,6557,6598
11394,syrups,6564,6665
11393,japanese dishes,6564,6665
11392,fats,6564,6665
11391,cookies,6564,6665
11390,cereals,6564,6665
11389,herbs,6568,6689
11388,dietetic food,6564,6665
11387,chemical synthetic intermediation,6568,6689
11386,botanical drugs,6568,6689
11385,biological medical products,6568,6689
11384,vegetarian pates,6565,6672
11383,seeds,6565,6673
11382,oils,6565,6672
11381,nuts,6565,6673
11380,grains,6565,6673
11379,creams,6565,6672
11378,chocolates,6565,6672
11377,hydronic systems,6556,6586
11376,vegetable alternatives,6565,6672
11375,teas,6565,6668
11374,sweeteners,6565,6668
11373,soups,6565,6672
11372,seeds,6565,6672
11371,pasta,6565,6672
11370,juices,6565,6668
11369,jams,6565,6672
11367,drinks,6565,6668
11366,dietary supplements,6565,6672
11365,deserts,6565,6672
11361,white garlic,6565,6673
11360,vegetables,6565,6673
11358,organic vegetables,6565,6673
11357,organic vegetables,6565,6672
11356,fruits,6565,6673
11354,ecological production,6565,6673
11353,dried fruits,6565,6673
11352,dried fruits,6565,6672
11351,chard,6565,6673
11350,artichokes,6565,6673
11349,value engineering,6556,6585
11348,underground utility contract,6557,6602
11347,telecom power distribution duct systems,6556,6585
11346,soil stabilization,6556,6585
11345,site utilities,6556,6585
11344,gutter,6556,6585
11343,erosion control,6556,6585
11342,concrete curb,6556,6585
11341,fabrication and welding,6557,6598
11340,freight shipping and trucking,6558,6609
11339,restoration arena,6557,6598
11338,landscaping,6557,6598
11337,irrigation,6557,6598
11336,ground maintenance,6557,6598
11335,grading,6557,6598
11334,fertilization pest control,6557,6598
11333,site development,6557,6598
11332,sidewalk & ramps,6557,6598
11331,road paving,6557,6598
11330,concrete repair & restoration,6557,6598
11329,concrete curbing,6557,6598
11328,appliance delivery and installation,6558,6610
11327,waterproofing,6557,6602
11326,wall covering,6556,6584
11325,venetian plaster,6556,6584
11324,faux finishing,6556,6584
11323,deck coatings,6556,6584
11322,caulking,6556,6584
