keyid,name,secid,sub_secid
13572,grading services,6557,6598
13571,biomass recycling,6557,6600
13570,niche building supplies,6563,6649
13569,home building,6556,6585
13567,audio/video systems,6560,6629
13566,tools,6568,6690
13565,technology solutions for pharma,6567,6687
13564,technology,6567,6687
13563,platforms,6567,6687
13562,parkinson's disease,6568,6689
13561,epilepsy,6568,6689
13560,data,6567,6687
13559,analytics,6567,6687
13558,irrigation service and installation,6557,6598
13556,land development service,6557,6598
13555,millwork and commercial fixtures,6556,6584
13554,motorcycle and powersports dealership,6563,6661
13553,retail furniture,6563,6662
13552,fluid handling equipment distributor,6563,6649
13551,charter school bus business,6561,6640
13549,piping contractor,6557,6602
13548,full truckload shipping,6558,6612
13546,meat wholesaler,6564,6665
13545,mixed signal,6575,6751
13544,analog,6575,6751
13543,site-work general contractor,6557,6598
13539,site work contractor,6557,6598
13538,women's apparel,6560,6632
13537,paving company,6556,6585
13536,speciality metal distributor,6563,6649
13535,grading contractor,6557,6598
13534,biomass boilers,6556,6593
13533,repair services,6557,6602
13532,synthetic fibers,6560,6634
13531,rayon,6560,6634
13530,polyester,6560,6634
13529,pique,6560,6634
13528,organic cotton,6560,6634
13526,jersey,6560,6634
13525,jacquard,6560,6634
13524,fleece,6560,6634
13523,elastane,6560,6634
13522,bamboo,6560,6634
13521,recruitment & search consultancy,6557,6605
13520,traffic lights,6574,6745
13519,colour blending & dispensing systems,6556,6593
13518,wireless sensor technology,6573,6729
13517,regulatory compliance,6573,6729
13516,cellulose plastics materials,6555,6568
13515,casein plastics,6555,6564
13514,demolition tools,6556,6585
13513,optical transceivers,6574,6738
13512,fiber optic cable manufacturing,6574,6745
13511,point of sale,6574,6748
13510,point of sale,6563,6654
13509,spinal treatment,6567,6684
13508,healthcare technology platform,6567,6687
13507,diagnostic centres,6567,6685
13506,cardiovascular therapies,6567,6684
13505,used-car dealership,6563,6661
13504,fire & water restoration,6557,6600
13503,diagnostic & medical product distributor,6567,6683
13502,nutritional products distributor,6564,6665
13501,nightwear,6560,6632
13500,beachwear,6560,6632
13499,enterprise it solutions,6573,6730
13498,rpo,6557,6605
13497,recruitment training,6557,6605
13496,recruitment process outsourcing,6557,6605
13495,recruitment consulting,6557,6605
13494,beef meat products,6565,6674
13493,marketing agency,6557,6604
13491,transport and distribution software,6573,6734
13490,mobile computers,6574,6741
13489,plant service,6557,6600
13488,cleaning services,6557,6600
13487,early stage development,6568,6690
13486,satellite communication technology,6576,6755
13485,tabletops,6556,6584
13484,shower doors,6556,6584
13483,custom doors,6556,6584
13481,automatic doors,6556,6584
13480,aluminum storefronts,6556,6584
13479,animal feed,6565,6674
13477,high voltage electrical contractor,6557,6598
13476,tig welding,6556,6593
13475,mid welding,6556,6593
13474,machining,6557,6598
13473,machining,6556,6593
13472,cutting,6557,6598
13471,enterprise software,6573,6734
13470,upgraded wheels,6559,6617
13469,mobile financial services,6570,6697
13468,digital customer engagement solutions,6570,6697
13467,it staffing firm,6557,6605
13466,staffing company,6557,6605
13465,roof and floor trusses,6556,6584
13464,kitchen and bath sinks,6566,6677
13463,personal protection equipment distributor,6563,6649
13462,stairs,6556,6584
13461,ladders,6556,6584
13460,hand rails,6556,6584
13459,solid waste service,6557,6600
13458,solid & liquid waste disposal facility,6557,6600
13457,online training,6573,6729
13456,payments,6573,6729
13455,tumplates,6556,6593
13454,tumplates,6556,6592
13452,rollers,6556,6592
13451,perforated milling sleeves,6556,6593
13450,perforated milling sleeves,6556,6592
13449,milling sleeves,6556,6593
13448,milling sleeves,6556,6592
13447,leasing,6570,6700
13446,lease,6570,6700
13445,vinyl windows,6556,6584
13444,semantic,6573,6729
13443,geotechnical engineering,6556,6585
13442,c m-resident engineering,6556,6585
13441,testing & inspection services,6557,6598
13440,piston compressor,6556,6593
13439,occupational health services lab,6567,6684
13437,cement manufacturing,6556,6585
13436,cement,6555,6569
13435,motorcycle finance,6570,6700
13434,freshwater fish,6565,6674
13433,meat products,6565,6674
13432,private label products,6565,6672
13431,structured cabling services,6557,6598
13430,transportation services,6558,6612
13429,haulage,6558,6612
13428,fleet management,6558,6612
13427,masonry contractor,6556,6585
13426,engraving products,6556,6593
13425,engraving machines,6557,6596
13424,engraving machines,6556,6593
13423,engraving,6557,6596
13422,engraving,6556,6593
13421,bindery products,6557,6596
13420,bindery equipment,6557,6596
13419,bindery equipment,6556,6593
13418,lube services,6561,6640
13417,car wash services,6561,6640
13416,craft beers,6565,6668
13415,ingredients,6565,6672
13414,additives,6565,6672
13413,additives,6564,6665
13412,email encryption,6573,6735
13411,email encryption,6573,6729
13410,cyber security,6573,6729
13409,archiving,6573,6729
13408,white sugar,6565,6673
13407,staff augmentation,6576,6754
13406,network planning,6576,6755
13405,network planning,6576,6754
13404,network implementation,6576,6755
13403,network implementation,6576,6754
13402,wifi operator,6576,6755
13401,power sport dealership,6563,6661
13400,metal recycler,6557,6600
13399,data centre,6573,6732
13398,outsourced contact centre services,6557,6598
13397,offshoring,6557,6604
13396,offshore services,6557,6598
13395,contact centre services,6557,6604
13393,automobile wheel,6559,6617
13392,solid waste planning and design,6557,6600
13391,materials testing,6556,6585
13390,industrial hygiene and occupational safety,6557,6600
13389,environmental site assessments and investigations,6557,6600
13388,analytics and reporting,6556,6585
13386,distribution and export management firm,6563,6649
13385,painting,6555,6568
13383,carbon fibers,6555,6568
13381,cro,6568,6690
13380,cro,6568,6689
13379,recycling business,6557,6600
13378,mattresses,6560,6625
13377,pos services,6557,6604
13376,point of sales data,6557,6606
